date,wheel,n1,n2,n3,n4,n5
2001/01/03,BARI,26,59,60,67,17
2001/01/03,CAGLIARI,13,83,16,41,68
2001/01/03,FIRENZE,33,87,76,7,10
2001/01/03,GENOVA,5,38,3,65,72
2001/01/03,MILANO,62,30,7,61,52
2001/01/03,NAPOLI,25,38,15,31,86
2001/01/03,PALERMO,15,56,89,85,63
2001/01/03,ROMA,41,17,80,48,9
2001/01/03,TORINO,42,16,12,60,20
2001/01/03,VENEZIA,51,84,76,42,90
2001/01/08,BARI,84,80,40,15,9
2001/01/08,CAGLIARI,6,87,80,25,60
2001/01/08,FIRENZE,72,68,79,84,88
2001/01/08,GENOVA,38,54,67,3,81
2001/01/08,MILANO,61,1,16,31,56
2001/01/08,NAPOLI,19,43,29,61,34
2001/01/08,PALERMO,16,15,66,1,44
2001/01/08,ROMA,69,77,42,53,27
2001/01/08,TORINO,90,50,20,59,3
2001/01/08,VENEZIA,59,69,72,60,70
2001/01/10,BARI,14,87,29,75,76
2001/01/10,CAGLIARI,86,13,31,82,84
2001/01/10,FIRENZE,76,83,63,84,27
2001/01/10,GENOVA,9,49,68,47,70
2001/01/10,MILANO,35,58,31,30,79
2001/01/10,NAPOLI,31,55,72,54,11
2001/01/10,PALERMO,30,58,87,43,16
2001/01/10,ROMA,8,33,37,61,15
2001/01/10,TORINO,89,51,10,70,84
2001/01/10,VENEZIA,75,53,38,65,27
2001/01/13,BARI,57,64,32,84,18
2001/01/13,CAGLIARI,66,4,78,68,3
2001/01/13,FIRENZE,44,76,77,12,35
2001/01/13,GENOVA,63,19,60,68,76
2001/01/13,MILANO,50,46,69,34,2
2001/01/13,NAPOLI,81,35,29,41,86
2001/01/13,PALERMO,90,4,74,67,19
2001/01/13,ROMA,83,75,31,32,2
2001/01/13,TORINO,87,52,53,45,40
2001/01/13,VENEZIA,5,55,64,65,28
2001/01/17,BARI,16,5,41,3,68
2001/01/17,CAGLIARI,67,72,42,37,73
2001/01/17,FIRENZE,53,64,46,51,67
2001/01/17,GENOVA,45,69,57,90,88
2001/01/17,MILANO,22,58,2,84,32
2001/01/17,NAPOLI,41,4,38,70,8
2001/01/17,PALERMO,35,30,44,22,58
2001/01/17,ROMA,62,76,55,57,45
2001/01/17,TORINO,72,68,43,66,14
2001/01/17,VENEZIA,71,49,46,34,78
2001/01/20,BARI,14,32,28,75,82
2001/01/20,CAGLIARI,72,65,41,76,18
2001/01/20,FIRENZE,90,39,6,23,17
2001/01/20,GENOVA,1,60,73,61,22
2001/01/20,MILANO,82,33,2,49,37
2001/01/20,NAPOLI,42,10,89,88,52
2001/01/20,PALERMO,25,62,29,59,1
2001/01/20,ROMA,28,32,87,62,53
2001/01/20,TORINO,39,16,47,85,12
2001/01/20,VENEZIA,28,31,40,84,76
2001/01/24,BARI,80,76,10,20,48
2001/01/24,CAGLIARI,6,75,33,34,71
2001/01/24,FIRENZE,65,12,60,16,57
2001/01/24,GENOVA,66,87,89,67,83
2001/01/24,MILANO,42,55,31,73,76
2001/01/24,NAPOLI,56,41,22,20,36
2001/01/24,PALERMO,90,66,78,35,34
2001/01/24,ROMA,29,9,47,63,8
2001/01/24,TORINO,74,82,45,46,30
2001/01/24,VENEZIA,78,71,38,1,42
2001/01/27,BARI,20,47,59,17,76
2001/01/27,CAGLIARI,3,86,42,56,80
2001/01/27,FIRENZE,18,29,40,35,88
2001/01/27,GENOVA,73,74,87,57,68
2001/01/27,MILANO,6,15,47,26,11
2001/01/27,NAPOLI,49,86,81,8,48
2001/01/27,PALERMO,2,44,29,86,39
2001/01/27,ROMA,83,79,76,19,80
2001/01/27,TORINO,70,12,62,6,14
2001/01/27,VENEZIA,15,38,63,81,65
2001/01/31,BARI,77,52,54,24,3
2001/01/31,CAGLIARI,24,6,23,67,66
2001/01/31,FIRENZE,70,50,46,63,21
2001/01/31,GENOVA,54,74,3,59,69
